ime,letnik,kilometrina,motor,menjalnik,cena,cas
Fiat Punto,2006,172000 km,"bencinski motor, 1368 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),2070€,"(5, 11)"

Suzuki Swift,2007,115319 km,"bencinski motor, 1328 ccm, 68 kW  / 93 KM",ročni menjalnik (5 pr.),3599€,"(5, 11)"

BMW Serija X3,2004,244000 km,"diesel motor, 2993 ccm, 150 kW  / 205 KM",avtomatski menjalnik,4999€,"(5, 11)"

Citroen C2,2007,152710 km,"bencinski motor, 1360 ccm, 54 kW  / 74 KM",ročni menjalnik (5 pr.),2499€,"(5, 11)"

Volkswagen Passat,2006,193598 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),4999€,"(5, 11)"

Renault Megane,2004,217000 km,"diesel motor, 1461 ccm, 60 kW  / 82 KM",ročni menjalnik (5 pr.),1300€,"(5, 11)"

Audi A4,2007,244350 km,"diesel motor, 1968 ccm, 125 kW  / 170 KM",ročni menjalnik (6 pr.),8490€,"(5, 11)"

Opel Astra,2003,320000 km,"diesel motor, 1686 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),800€,"(5, 11)"

BMW Serija 7,1987,280000 km,"bencinski motor, 3430 ccm, 155 kW  / 211 KM",ročni menjalnik (5 pr.),3900€,"(5, 11)"

Volkswagen Polo,1997,98315 km,"bencinski motor, 1391 ccm, 44 kW  / 60 KM",ročni menjalnik (5 pr.),599€,"(5, 11)"

BMW Serija 3,2014,156000 km,"diesel motor, 1995 ccm, 100 kW  / 136 KM",ročni menjalnik (6 pr.),14599€,"(5, 11)"

Mercedes-Benz A-Razred,2005,268000 km,"diesel motor, 1991 ccm, 80 kW  / 109 KM",ročni menjalnik (6 pr.),2990€,"(5, 11)"

Renault Espace,2008,208900 km,"diesel motor, 1995 ccm, 110 kW  / 150 KM",avtomatski menjalnik / tiptronic,4800€,"(5, 11)"

Ford Mondeo,2008,220000 km,"diesel motor, 1997 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),5100€,"(5, 11)"

Suzuki Ignis,2006,133000 km,"bencinski motor, 1490 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),1900€,"(5, 11)"

Volkswagen Passat,2006,198765 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),5250€,"(5, 11)"

Citroen C5,2009,340000 km,"diesel motor, 1560 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),2700€,"(7, 11)"

Volkswagen Golf,2013,69215 km,"bencinski motor, 1395 ccm, 90 kW  / 123 KM",ročni menjalnik (6 pr.),14990€,"(7, 11)"

Volkswagen Passat,2016,133011 km,"diesel motor, 1598 ccm, 88 kW  / 120 KM",ročni menjalnik (6 pr.),14490€,"(7, 11)"

Volkswagen Golf,2015,134136 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",avtomatski menjalnik,13299€,"(7, 11)"

Škoda Octavia,2013,150000 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),9490€,"(7, 11)"

Audi A6,2009,115057 km,"diesel motor, 1968 ccm, 100 kW  / 136 KM",ročni menjalnik (6 pr.),14490€,"(7, 11)"

Ford Galaxy,2015,75488 km,"diesel motor, 1997 ccm, 132 kW  / 180 KM",ročni menjalnik (6 pr.),23990€,"(7, 11)"

Mercedes-Benz E-Razred,2007,224000 km,"diesel motor, 2987 ccm, 165 kW  / 225 KM",avtomatski menjalnik / tiptronic,3900€,"(7, 11)"

Volkswagen Transporter,2010,318000 km,"diesel motor, 1968 ccm, 132 kW  / 180 KM",avtomatski menjalnik,12390€,"(7, 11)"

Citroen C3,2015,105000 km,"diesel motor, 1398 ccm, 50 kW  / 68 KM",ročni menjalnik (5 pr.),6990€,"(7, 11)"

Fiat Stilo,2005,304000 km,"diesel motor, 1910 ccm, 85 kW  / 116 KM",ročni menjalnik (5 pr.),490€,"(7, 11)"

Opel Corsa,2004,145000 km,"bencinski motor, 1199 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),1590€,"(7, 11)"

Hyundai i20,2009,89000 km,"bencinski motor, 1248 ccm, 57 kW  / 78 KM",ročni menjalnik (5 pr.),3990€,"(7, 11)"

Seat Leon,2016,108021 km,"diesel motor, 1598 ccm, 81 kW  / 110 KM",avtomatski menjalnik,11799€,"(7, 11)"

Audi A4,2009,248000 km,"diesel motor, 1968 ccm, 105 kW  / 143 KM",ročni menjalnik (6 pr.),8800€,"(7, 11)"

Audi A4,2008,250000 km,"diesel motor, 1968 ccm, 105 kW  / 143 KM",avtomatski menjalnik,8400€,"(7, 11)"

Renault Clio,2012,63000 km,"bencinski motor, 1149 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),3850€,"(7, 11)"

Mercedes-Benz E-Razred,2014,120000 km,"diesel motor, 2143 ccm, 150 kW  / 205 KM",avtomatski menjalnik / tiptronic,25900€,"(7, 11)"

Ford Mondeo,2016,56492 km,"diesel motor, 1997 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),18490€,"(7, 11)"

Volkswagen Passat,2010,267888 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),9500€,"(7, 11)"

Peugeot 807,2011,182000 km,"diesel motor, 2000 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),7800€,"(7, 11)"

BMW Serija 3,2008,204591 km,"diesel motor, 1995 ccm, 130 kW  / 177 KM",avtomatski menjalnik,9999€,"(7, 11)"

Mercedes-Benz C-Razred,2017,269300 km,"diesel motor, 1598 ccm, 100 kW  / 136 KM",ročni menjalnik (6 pr.),13200€,"(7, 11)"

BMW Serija 5,2011,173077 km,"diesel motor, 2993 ccm, 220 kW  / 300 KM",avtomatski menjalnik / tiptronic,25990€,"(7, 11)"

BMW Serija X3,2005,252800 km,"diesel motor, 1995 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),5790€,"(7, 11)"

Citroen Berlingo,2011,175000 km,"bencinski motor + plin, 1598 ccm, 72 kW  / 98 KM",ročni menjalnik (5 pr.),6650€,"(7, 11)"

Lexus IS,2010,192500 km,"diesel motor, 2231 ccm, 130 kW  / 177 KM",ročni menjalnik (6 pr.),7500€,"(7, 11)"

Volkswagen Touran,2015,117850 km,"diesel motor, 1598 ccm, 81 kW  / 110 KM",ročni menjalnik (6 pr.),14580€,"(7, 11)"

Fiat Punto,2001,165000 km,"bencinski motor, 1242 ccm, 44 kW  / 60 KM",ročni menjalnik (5 pr.),400€,"(7, 11)"

Citroen C4,2016,135000 km,"diesel motor, 1560 ccm, 88 kW  / 120 KM",avtomatski menjalnik,10490€,"(7, 11)"

BMW Serija 5,2000,280000 km,"bencinski motor, 2494 ccm, 125 kW  / 170 KM",ročni menjalnik (5 pr.),590€,"(7, 11)"

Škoda Fabia,2002,238000 km,"diesel motor, 1896 ccm, 47 kW  / 64 KM",ročni menjalnik (5 pr.),1000€,"(7, 11)"

Audi A3,2011,124000 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),9400€,"(7, 11)"

Subaru Legacy,2010,207308 km,"diesel motor, 1998 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),8990€,"(7, 11)"

Volkswagen Passat,2013,177000 km,"diesel motor, 1968 ccm, 130 kW  / 177 KM",ročni menjalnik (6 pr.),12280€,"(7, 11)"

Opel Corsa,2005,168000 km,"bencinski motor, 1199 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),1500€,"(7, 11)"

Renault Grand Scenic 1.9 dCi Privilege,2010,180600 km,"diesel motor, 1870 ccm, 96 kW  / 131 KM",ročni menjalnik (6 pr.),5100€,"(7, 11)"

Audi A4,2015,166000 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",avtomatski menjalnik,15650€,"(7, 11)"

Mini -,2013,59000 km,"diesel motor, 1598 ccm, 66 kW  / 90 KM",ročni menjalnik (6 pr.),10900€,"(7, 11)"

Volkswagen Passat,2015,158909 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),16990€,"(7, 11)"

Honda Civic,2000,230000 km,"diesel motor, 2000 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),750€,"(7, 11)"

