znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Volkswagen,Golf,2014,171000,diesel motor,1598,ročni menjalnik,8750,"(23, 1)"
Nissan,Micra,2004,190000,diesel motor,1498,ročni menjalnik,1150,"(23, 1)"
Mitsubishi,L 200,2006,272000,diesel motor,2498,ročni menjalnik,8900,"(23, 1)"
BMW,Serija 5,2012,294000,diesel motor,1995,avtomatski menjalnik,16999,"(23, 1)"
Volkswagen,Passat,2015,175396,diesel motor,1968,ročni menjalnik,14650,"(23, 1)"
Renault,Megane,2006,248000,diesel motor,1461,ročni menjalnik,690,"(23, 1)"
Kia,Cerato,2006,250000,diesel motor,1582,ročni menjalnik,1150,"(23, 1)"
Volkswagen,Touran,2013,161000,diesel motor,1598,ročni menjalnik,10390,"(23, 1)"
Audi,A6,2007,248600,diesel motor,2698,ročni menjalnik,8200,"(23, 1)"
Ford,Mondeo,2000,250000,diesel motor,1800,ročni menjalnik,150,"(23, 1)"
Opel,Insignia,2010,209000,diesel motor,1956,ročni menjalnik,6999,"(23, 1)"
Volkswagen,Golf,2014,171388,diesel motor,1598,ročni menjalnik,9990,"(23, 1)"
Mazda,Mazda3,2010,130600,diesel motor,1560,ročni menjalnik,6900,"(23, 1)"
Mercedes-Benz,E-Razred,2005,379000,diesel motor,2148,avtomatski menjalnik,4600,"(23, 1)"
Audi,Allroad,2012,193000,diesel motor,2967,avtomatski menjalnik,22000,"(23, 1)"
Fiat,Bravo,2008,176000,diesel motor,1910,ročni menjalnik,3690,"(23, 1)"
Kia,Sorento,2010,121700,diesel motor,2199,ročni menjalnik,13780,"(23, 1)"
BMW,Serija 3,2015,111904,diesel motor,1995,ročni menjalnik,20480,"(23, 1)"
Peugeot,206,2003,142000,bencinski motor,1360,ročni menjalnik,1450,"(23, 1)"
Škoda,Roomster,2014,145485,diesel motor,1598,ročni menjalnik,7990,"(23, 1)"
Citroen,C3,2012,120000,diesel motor,1398,ročni menjalnik,5750,"(23, 1)"
Renault,Clio,2001,185,bencinski motor,4967,ročni menjalnik,250,"(23, 1)"
Seat,Altea,2013,41300,diesel motor,1598,ročni menjalnik,9900,"(23, 1)"
Peugeot,107,2007,197000,bencinski motor,998,ročni menjalnik,2390,"(23, 1)"
Renault,Megane,2007,220000,diesel motor,1870,ročni menjalnik,790,"(23, 1)"
Volvo,XC70,2008,320000,diesel motor,120164,ročni menjalnik,3600,"(23, 1)"
Toyota,Verso,2014,94300,diesel motor,1598,ročni menjalnik,11999,"(23, 1)"
Honda,CR-V,1997,266385,bencinski motor,1973,avtomatski menjalnik,1500,"(23, 1)"
Hyundai,Coupe,1999,271000,bencinski motor,1599,ročni menjalnik,370,"(23, 1)"
Volkswagen,Passat,2015,171942,diesel motor,1968,ročni menjalnik,14250,"(23, 1)"
Renault,Clio,2015,59000,bencinski motor,1149,ročni menjalnik,7690,"(23, 1)"
Renault,Megane,2013,93549,diesel motor,1461,ročni menjalnik,7490,"(23, 1)"
Ford,S-Max,2008,254350,bencinski motor,1999,ročni menjalnik,5490,"(23, 1)"
Škoda,Octavia,2015,141597,diesel motor,1968,ročni menjalnik,12999,"(23, 1)"
